,DATE,HOUR,Avg Relative Humidity[%],Avg Specific Humidity[g/Kg],Wind Speed[m/s],Avg Temp[deg C],Solar Power[KW]
0,1/1/2015,1,60.3718,0.9938,3.8032,-6.8523,3.501
1,1/1/2015,2,59.0476,1.0398,3.7096,-7.1717,4.523
2,1/1/2015,3,62.379,1.1632,2.4968,-7.3151,0.458
3,1/1/2015,4,63.2333,1.2544,3.7711,-7.8468,0.566
4,1/1/2015,5,63.9393,1.2493,1.8259,-7.7747,0.398
5,1/1/2015,6,62.4863,1.2187,2.4815,-7.6467,0.317
6,1/1/2015,7,57.1677,1.1082,1.0171,-7.2732,0.203
7,1/1/2015,8,57.0789,1.1235,2.0922,-6.3106,0.145
8,1/1/2015,9,56.5409,1.4862,4.6892,-4.408,0.096
9,1/1/2015,10,52.6945,1.5882,3.824,-4.2756,0.048
10,1/1/2015,11,50.1163,1.5934,3.0537,-4.681,0.018
11,1/1/2015,12,50.4004,1.4481,3.5327,-6.0339,0
12,1/1/2015,13,48.7252,1.4303,3.9396,-5.6805,0
13,1/1/2015,14,42.3557,1.2601,3.5394,-5.4636,0
14,1/1/2015,15,38.623,1.1866,1.3752,-5.1064,0
15,1/1/2015,16,43.2378,1.3607,3.1902,-4.6097,0
16,1/1/2015,17,50.0313,1.5057,3.0941,-4.805,0
17,1/1/2015,18,55.613,1.7168,4.0913,-4.1277,0
18,1/1/2015,19,61.2047,1.8992,4.4373,-4.2304,0
19,1/1/2015,20,75.3899,2.2237,2.6267,-5.2679,0
20,1/1/2015,21,95.4852,2.5043,2.4535,-6.2819,0
21,1/1/2015,22,98.0606,2.4283,2.3128,-5.6615,0.025
22,1/1/2015,23,86.0744,2.3856,2.0124,-4.5494,0.150
23,1/2/2015,0,87.9326,2.4189,2.1845,-4.4313,0.324
24,1/2/2015,1,71.5167,2.2392,3.5457,-4.2767,0.490
25,1/2/2015,2,72.7878,2.1703,3.8065,-4.3006,0.604
26,1/2/2015,3,74.3521,2.0403,3.3412,-4.4308,0.513
27,1/2/2015,4,76.3922,1.9857,3.4403,-4.3002,0.486
28,1/2/2015,5,76.3268,1.9815,2.6837,-4.3915,0.483
29,1/2/2015,6,78.4584,1.9411,0.9098,-4.3937,0.490
30,1/2/2015,7,78.9596,1.8546,2.1673,-3.9451,0.415
31,1/2/2015,8,77.9053,1.9197,2.7751,-3.9562,0.308
32,1/2/2015,9,70.5618,2.1309,3.2545,-3.5415,0.227
33,1/2/2015,10,65.9591,2.5084,4.1394,-1.9807,0.139
34,1/2/2015,11,61.3325,2.6687,4.9051,-1.3947,0.034
35,1/2/2015,12,61.1415,2.792,4.9086,-1.3515,0
36,1/2/2015,13,60.0332,2.9255,4.2544,-0.6273,0
37,1/2/2015,14,55.1967,2.8392,3.7559,-0.0401,0
38,1/2/2015,15,54.5982,2.8196,3.8099,0.1724,0
39,1/2/2015,16,61.7851,2.6543,4.644,0.5654,0
40,1/2/2015,17,67.1249,2.4233,3.1673,-0.1115,0
41,1/2/2015,18,68.8971,2.3888,3.5636,-0.0054,0
42,1/2/2015,19,67.2499,2.304,3.5522,-0.1515,0
43,1/2/2015,20,64.9909,2.2488,4.1494,-0.2775,0
44,1/2/2015,21,65.4335,2.3051,5.1094,0.2485,0
45,1/2/2015,22,60.968,2.2894,5.8027,0.7779,0.020
46,1/2/2015,23,62.9888,2.244,2.2245,0.5085,0.078
47,1/3/2015,0,59.6528,2.2402,2.2283,0.5723,0.142
48,1/3/2015,1,59.6179,2.1175,2.0461,0.5815,0.222
49,1/3/2015,2,57.2467,2.1351,1.2412,-0.4245,0.296
50,1/3/2015,3,60.6925,2.1204,1.7186,-0.4878,0.377
51,1/3/2015,4,57.8103,2.1208,2.4472,0.1433,0.417
52,1/3/2015,5,53.6561,2.102,2.648,0.8975,0.439
53,1/3/2015,6,49.5964,2.3008,6.2607,1.8023,0.466
54,1/3/2015,7,45.8607,2.4436,7.0636,2.2945,0.471
55,1/3/2015,8,46.4798,2.489,4.5337,2.6536,0.439
56,1/3/2015,9,47.3991,2.6445,4.118,3.1417,0.314
57,1/3/2015,10,56.151,2.5708,2.596,0.2186,0.147
58,1/3/2015,11,56.0185,2.5804,2.5552,-0.0918,0.033
59,1/3/2015,12,53.809,2.6707,3.3953,0.5914,0
60,1/3/2015,13,83.8871,3.0261,2.1307,-4.0165,0
61,1/3/2015,14,96.1811,3.3514,1.9927,-4.1734,0
62,1/3/2015,15,99.4983,2.9216,6.1672,-6.2369,0
63,1/3/2015,16,99.9403,2.2308,4.7293,-9.2165,0
64,1/3/2015,17,99.1652,1.9034,2.9675,-10.8078,0
65,1/3/2015,18,99.1382,1.7505,4.302,-11.5373,0
66,1/3/2015,19,98.1459,1.5298,5.3366,-12.3315,0
67,1/3/2015,20,98.7639,1.4093,4.8312,-13.5813,0
68,1/3/2015,21,98.2802,1.3452,4.8668,-14.0452,0
69,1/3/2015,22,98.7756,1.3353,4.0951,-14.3361,0
70,1/3/2015,23,98.5913,1.2592,4.1471,-15.1351,0.139
71,1/4/2015,0,97.3379,1.1347,3.4695,-15.8525,0.354
72,1/4/2015,1,96.6464,1.0267,2.066,-16.331,0.546
73,1/4/2015,2,93.975,0.9167,2.2233,-16.5894,0.691
74,1/4/2015,3,95.1116,0.899,3.0823,-15.795,0.785
75,1/4/2015,4,94.802,0.9625,2.0508,-15.0549,0.832
76,1/4/2015,5,95.4775,0.9937,1.3288,-15.0188,0.831
77,1/4/2015,6,95.3887,1.0186,1.5225,-14.5071,0.785
78,1/4/2015,7,95.3258,1.05,3.5631,-12.771,0.692
79,1/4/2015,8,97.3024,1.0886,3.3949,-10.926,0.553
80,1/4/2015,9,97.6929,1.3013,4.2365,-8.2138,0.370
81,1/4/2015,10,95.7206,1.5655,6.1698,-4.0294,0.163
82,1/4/2015,11,52.0058,1.9935,10.3847,1.1608,0.006
83,1/4/2015,12,47.4481,1.683,7.7164,-0.5139,0
84,1/4/2015,13,61.2116,1.6234,3.8721,-3.1342,0
85,1/4/2015,14,56.5623,1.8573,3.0098,-3.3858,0
86,1/4/2015,15,45.7412,2.147,4.6583,-0.0204,0
87,1/4/2015,16,45.4691,2.1237,4.3025,1.8703,0
88,1/4/2015,17,52.4643,2.1173,4.6002,-0.3916,0
89,1/4/2015,18,51.4322,2.0673,3.5458,0.0673,0
90,1/4/2015,19,37.458,2.064,5.2329,3.7717,0
91,1/4/2015,20,41.4784,2.1367,8.6652,3.1362,0
92,1/4/2015,21,39.1486,2.1339,5.9408,3.7514,0
93,1/4/2015,22,33.0788,2.1001,5.7933,5.4469,0
94,1/4/2015,23,73.394,1.4087,5.6374,-8.4486,0.127
95,1/5/2015,0,90.5761,1.3063,4.6917,-12.8067,0.345
96,1/5/2015,1,93.6023,1.2306,3.3645,-11.0284,0.535
97,1/5/2015,2,96.0814,1.1633,2.9537,-11.4681,0.677
98,1/5/2015,3,95.9,1.1325,3.9324,-8.6938,0.767
99,1/5/2015,4,46.8234,2.8665,13.3464,5.9957,0.810
100,1/5/2015,5,46.103,2.3615,6.0967,5.2706,0.808
101,1/5/2015,6,42.1562,2.4905,6.1264,5.7454,0.763
102,1/5/2015,7,38.8858,2.7749,10.4777,6.691,0.673
103,1/5/2015,8,38.7756,2.7949,10.0133,6.9072,0.537
104,1/5/2015,9,37.8994,3.2565,12.7673,8.9366,0.359
105,1/5/2015,10,38.173,3.6151,7.4795,10.2418,0.161
106,1/5/2015,11,39.4783,3.8513,9.8621,10.7961,0.012
107,1/5/2015,12,39.8858,4.0612,9.93,11.4903,0
108,1/5/2015,13,41.2223,4.2831,8.8104,11.8873,0
109,1/5/2015,14,42.677,4.4502,12.6224,11.9698,0
110,1/5/2015,15,44.1366,4.5781,13.1898,11.8974,0
111,1/5/2015,16,42.4657,4.5988,8.1221,12.5732,0
112,1/5/2015,17,43.6393,4.6796,10.117,12.5064,0
113,1/5/2015,18,43.6723,4.7031,7.4326,12.3478,0
114,1/5/2015,19,42.4535,4.7744,5.5275,13.1263,0
115,1/5/2015,20,44.6774,4.8556,10.7942,13.019,0
116,1/5/2015,21,47.5531,4.9663,16.1766,12.2809,0
117,1/5/2015,22,46.7378,4.8919,4.7806,12.3459,0
118,1/5/2015,23,48.8487,4.8083,4.1677,12.1636,0.127
119,1/6/2015,0,51.7936,4.7215,3.3985,10.9569,0.354
120,1/6/2015,1,88.8866,4.1985,6.2695,0.2613,0.552
121,1/6/2015,2,99.6961,4.0386,4.6977,-1.7417,0.698
122,1/6/2015,3,100.0,3.9135,4.9928,-2.3872,0.791
123,1/6/2015,4,100.0,3.7664,4.6891,-2.4325,0.836
124,1/6/2015,5,100.0,3.6359,3.3945,-1.1669,0.836
125,1/6/2015,6,98.9471,3.8842,4.2498,6.4627,0.790
126,1/6/2015,7,67.6605,4.8941,5.5364,9.7081,0.697
127,1/6/2015,8,63.872,4.2287,4.0512,8.6439,0.557
128,1/6/2015,9,68.7835,4.3386,2.7356,8.9223,0.372
129,1/6/2015,10,66.9089,4.4476,2.2921,6.5874,0.165
130,1/6/2015,11,66.5737,4.7859,2.5891,8.4751,0.008
131,1/6/2015,12,40.5543,4.4204,7.8815,12.2049,0
132,1/6/2015,13,39.0372,4.4399,7.5507,12.6625,0
133,1/6/2015,14,43.5147,4.5267,7.2734,11.8247,0
134,1/6/2015,15,50.4047,4.5428,8.3646,10.7223,0
