DATE (MM/DD/YYYY),HOUR-MST,Avg Temperature @ 50m [deg C],Avg Wind Chill Temp [deg C],Avg Dew Point Temp [deg C],Avg Relative Humidity [%],Avg Specific Humidity [g/Kg],Avg Station Pressure [mBar],Avg Sea-Level Pressure (Est) [mBar],Avg Atmospheric Electric Field [kV/m],Avg Avg Wind Speed @ 50m [m/s],Avg Avg Wind Shear [1/s],Avg Friction Velocity (u*) [m/s],Avg Est Surface Roughness [m]
1/1/2015,1,-6.8523,-17.4381,-17.5501,60.3718,0.9938,813.2682,1017.9600,-99999,3.8032,0.0588,0.3084,0.1491
1/1/2015,2,-7.1717,-16.4592,-17.0799,59.0476,1.0398,812.6947,1017.2650,-99999,3.7096,0.0757,0.3698,0.1602
1/1/2015,3,-7.3151,-13.5495,-15.9034,62.3790,1.1632,812.0688,1016.5117,-99999,2.4968,0.0319,0.2250,0.2649
1/1/2015,4,-7.8468,-12.6394,-15.0834,63.2333,1.2544,811.5503,1015.8933,-99999,3.7711,0.0476,0.2973,0.4295
1/1/2015,5,-7.7747,-12.1157,-15.1327,63.9393,1.2493,811.2588,1015.5383,-99999,1.8259,0.0157,0.1643,0.7667
1/1/2015,6,-7.6467,-12.5476,-15.4204,62.4863,1.2187,810.7407,1014.9150,-99999,2.4815,0.0130,0.2031,0.3192
1/1/2015,7,-7.2732,-13.6446,-16.4469,57.1677,1.1082,810.7080,1014.8800,-99999,1.0171,-0.0265,0.3330,20.4358
1/1/2015,8,-6.3106,-13.1016,-16.3199,57.0789,1.1235,810.9418,1015.1683,-99999,2.0922,0.0247,0.2554,0.6355
1/1/2015,9,-4.4080,-8.2023,-13.2631,56.5409,1.4862,810.9873,1015.2217,-99999,4.6892,0.0690,0.5143,1.8454
1/1/2015,10,-4.2756,-6.0374,-12.5081,52.6945,1.5882,811.5453,1015.8867,-99999,3.8240,0.0664,0.4155,1.3590
1/1/2015,11,-4.6810,-6.7825,-12.4717,50.1163,1.5934,811.9265,1016.3417,-99999,3.0537,0.0521,0.2891,0.4420
1/1/2015,12,-6.0339,-8.0923,-13.5249,50.4004,1.4481,811.6797,1016.0483,-99999,3.5327,0.0468,0.3451,0.7194
1/1/2015,13,-5.6805,-8.8382,-13.6789,48.7252,1.4303,810.6958,1014.8733,-99999,3.9396,0.0510,0.3187,0.3332
1/1/2015,14,-5.4636,-7.2445,-15.0587,42.3557,1.2601,810.4845,1014.6167,-99999,3.5394,0.0588,0.3202,0.8036
1/1/2015,15,-5.1064,-5.0555,-15.6930,38.6230,1.1866,810.7798,1014.9700,-99999,1.3752,0.0205,0.1520,1.3147
1/1/2015,16,-4.6097,-5.3860,-14.2418,43.2378,1.3607,811.2905,1015.5800,-99999,3.1902,0.0625,0.2993,0.9020
1/1/2015,17,-4.8050,-5.7489,-13.1194,50.0313,1.5057,811.6252,1015.9800,-99999,3.0941,0.0622,0.3456,1.5682
1/1/2015,18,-4.1277,-5.4428,-11.6827,55.6130,1.7168,811.7855,1016.1767,-99999,4.0913,0.0818,0.4114,1.0084
1/1/2015,19,-4.2304,-5.7777,-10.5194,61.2047,1.8992,812.1577,1016.6217,-99999,4.4373,0.0873,0.4693,1.2960
1/1/2015,20,-5.2679,-7.1390,-8.7827,75.3899,2.2237,812.5422,1017.0833,-99999,2.6267,0.0399,0.2589,1.0634
1/1/2015,21,-6.2819,-9.7397,-7.3730,95.4852,2.5043,812.5838,1017.1267,-99999,2.4535,0.0398,0.2325,0.2406
1/1/2015,22,-5.6615,-10.6897,-7.7347,98.0606,2.4283,812.4437,1016.9717,-99999,2.3128,0.0441,0.3051,0.4462
1/1/2015,23,-4.5494,-6.9730,-7.9333,86.0744,2.3856,812.7325,1017.3183,-99999,2.0124,0.0373,0.3289,2.4197
1/2/2015,0,-4.4313,-9.4245,-7.7710,87.9326,2.4189,812.9492,1017.5650,-99999,2.1845,0.0318,0.2049,0.1204
1/2/2015,1,-4.2767,-6.9695,-8.6517,71.5167,2.2392,812.8023,1017.3817,-99999,3.5457,0.0473,0.2916,0.5696
1/2/2015,2,-4.3006,-7.9418,-9.0067,72.7878,2.1703,812.6283,1017.1900,-99999,3.8065,0.0501,0.2863,0.3320
1/2/2015,3,-4.4308,-7.9438,-9.7061,74.3521,2.0403,812.5457,1017.0917,-99999,3.3412,0.0381,0.3002,0.7928
1/2/2015,4,-4.3002,-8.7553,-10.0176,76.3922,1.9857,812.3442,1016.8400,-99999,3.4403,0.0378,0.2850,0.4897
1/2/2015,5,-4.3915,-10.0579,-10.0421,76.3268,1.9815,811.9365,1016.3617,-99999,2.6837,0.0171,0.1714,0.0903
1/2/2015,6,-4.3937,-10.6805,-10.2845,78.4584,1.9411,811.6172,1015.9783,0.0533,0.9098,-0.0171,0.1331,0.1300
1/2/2015,7,-3.9451,-12.6375,-10.7921,78.9596,1.8546,811.6818,1016.0600,0.0610,2.1673,0.0119,0.1770,0.0856
1/2/2015,8,-3.9562,-10.8789,-10.4125,77.9053,1.9197,811.5192,1015.8567,0.0722,2.7751,0.0108,0.4576,3.0983
1/2/2015,9,-3.5415,-7.8710,-9.2307,70.5618,2.1309,811.9562,1016.3800,0.0797,3.2545,0.0509,0.2627,0.2754
1/2/2015,10,-1.9807,-4.8079,-7.3674,65.9591,2.5084,811.9933,1016.4317,0.0898,4.1394,0.0650,0.3005,0.2761
1/2/2015,11,-1.3947,-4.2000,-6.6618,61.3325,2.6687,811.3480,1015.6517,0.1138,4.9051,0.0769,0.2736,0.0703
1/2/2015,12,-1.3515,-3.6766,-6.1550,61.1415,2.7920,810.1083,1014.1617,0.2488,4.9086,0.0629,0.2765,0.0575
1/2/2015,13,-0.6273,-2.1912,-5.6287,60.0332,2.9255,808.9588,1012.7850,0.3072,4.2544,0.0527,0.2478,0.0772
1/2/2015,14,-0.0401,-0.4596,-5.9833,55.1967,2.8392,808.4262,1012.1367,0.2023,3.7559,0.0830,0.2492,0.1394
1/2/2015,15,0.1724,-0.4867,-6.0707,54.5982,2.8196,808.0243,1011.6650,0.1388,3.8099,0.0700,0.2493,0.1873
1/2/2015,16,0.5654,-3.7508,-6.7768,61.7851,2.6543,807.6940,1011.2650,0.1417,4.6440,0.0727,0.3247,0.2448
1/2/2015,17,-0.1115,-5.8570,-7.8259,67.1249,2.4233,807.4470,1010.9733,0.1163,3.1673,0.0344,0.2422,0.2846
1/2/2015,18,-0.0054,-6.9540,-7.9911,68.8971,2.3888,807.1747,1010.6433,0.0848,3.5636,0.0503,0.1855,0.0505
1/2/2015,19,-0.1515,-7.5319,-8.4057,67.2499,2.3040,807.0143,1010.4500,0.0567,3.5522,0.0458,0.1333,0.0065
1/2/2015,20,-0.2775,-7.4973,-8.6827,64.9909,2.2488,806.9047,1010.3317,0.0587,4.1494,0.0628,0.2356,0.0373
1/2/2015,21,0.2485,-7.7114,-8.4087,65.4335,2.3051,806.5703,1009.9200,0.0572,5.1094,0.0960,0.2950,0.0313
1/2/2015,22,0.7779,-7.0191,-8.4822,60.9680,2.2894,806.6795,1010.0467,0.0643,5.8027,0.1042,0.3680,0.0709
1/2/2015,23,0.5085,-5.0924,-8.7160,62.9888,2.2440,806.5657,1009.9067,0.0535,2.2245,0.0313,0.1638,0.1730
1/3/2015,0,0.5723,-3.9681,-8.7424,59.6528,2.2402,805.8722,1009.0867,0.0633,2.2283,0.0390,0.1940,0.7337
1/3/2015,1,0.5815,-5.4033,-9.4002,59.6179,2.1175,805.3432,1008.4467,0.0610,2.0461,0.0112,0.3262,2.5566
1/3/2015,2,-0.4245,-3.0194,-9.2902,57.2467,2.1351,805.4903,1008.6300,0.0503,1.2412,0.0109,0.9985,3.0952
1/3/2015,3,-0.4878,-4.8101,-9.3819,60.6925,2.1204,805.5882,1008.7383,0.0532,1.7186,0.0183,0.3962,3.0459
1/3/2015,4,0.1433,-4.6636,-9.3701,57.8103,2.1208,805.3355,1008.4417,0.0572,2.4472,0.0193,0.4261,3.2255
1/3/2015,5,0.8975,-3.6650,-9.4782,53.6561,2.1020,804.9915,1008.0233,0.0497,2.6480,0.0296,0.4242,1.8310
1/3/2015,6,1.8023,-3.4579,-8.4741,49.5964,2.3008,804.3917,1007.3000,0.0562,6.2607,0.0814,0.4869,0.4654
1/3/2015,7,2.2945,-2.0299,-7.7697,45.8607,2.4436,804.3603,1007.2633,0.0632,7.0636,0.0850,0.4562,0.1992
1/3/2015,8,2.6536,-0.6782,-7.5563,46.4798,2.4890,804.7318,1007.7083,0.0642,4.5337,0.0693,0.2873,0.2464
1/3/2015,9,3.1417,0.1888,-6.8477,47.3991,2.6445,805.4197,1008.5383,0.0643,4.1180,0.0620,0.2779,0.2002
1/3/2015,10,0.2186,-1.8712,-7.1714,56.1510,2.5708,806.4803,1009.8033,0.1087,2.5960,0.0339,0.2098,0.8195
1/3/2015,11,-0.0918,-1.8578,-7.1063,56.0185,2.5804,807.2340,1010.7117,0.0643,2.5552,0.0357,0.1617,0.1568
1/3/2015,12,0.5914,-1.2627,-6.7156,53.8090,2.6707,807.8132,1011.4067,0.0383,3.3953,0.0195,0.2653,0.5208
1/3/2015,13,-4.0165,-4.6164,-5.2621,83.8871,3.0261,808.6793,1012.4517,0.2592,2.1307,0.0237,0.1810,0.5308
1/3/2015,14,-4.1734,-5.1148,-4.0427,96.1811,3.3514,808.9300,1012.7450,0.1665,1.9927,0.0257,0.1111,0.1844
1/3/2015,15,-6.2369,-10.8175,-5.7155,99.4983,2.9216,810.0602,1014.1100,-0.0195,6.1672,0.0746,0.3050,0.0577
1/3/2015,16,-9.2165,-13.5696,-8.7142,99.9403,2.2308,812.0505,1016.4967,0.0043,4.7293,0.0497,0.2601,0.0775
1/3/2015,17,-10.8078,-14.8459,-10.4812,99.1652,1.9034,813.3768,1018.0900,0.0378,2.9675,0.0006,0.2704,0.6282
1/3/2015,18,-11.5373,-15.0627,-11.3985,99.1382,1.7505,814.1182,1018.9783,0.0973,4.3020,0.1131,0.3102,0.1761
1/3/2015,19,-12.3315,-16.2178,-12.9031,98.1459,1.5298,814.8832,1019.8900,0.1543,5.3366,0.1293,0.4287,0.5698
1/3/2015,20,-13.5813,-17.8547,-13.7604,98.7639,1.4093,815.9877,1021.2183,0.2377,4.8312,0.0939,0.3491,0.4563
1/3/2015,21,-14.0452,-18.2054,-14.2614,98.2802,1.3452,816.2562,1021.5367,0.1418,4.8668,0.1141,0.3452,0.2088
1/3/2015,22,-14.3361,-17.8991,-14.3387,98.7756,1.3353,816.5785,1021.9233,0.3098,4.0951,0.1208,0.3344,0.2063
1/3/2015,23,-15.1351,-18.6602,-14.9711,98.5913,1.2592,816.7475,1022.1283,0.2517,4.1471,0.1232,0.3655,0.2352
1/4/2015,0,-15.8525,-17.9413,-16.1018,97.3379,1.1347,816.3660,1021.6667,0.1482,3.4695,0.0900,0.2805,0.3520
1/4/2015,1,-16.3310,-16.9447,-17.1748,96.6464,1.0267,816.0045,1021.2400,0.1158,2.0660,0.0507,0.2444,1.6933
1/4/2015,2,-16.5894,-18.7290,-18.3824,93.9750,0.9167,815.8320,1021.0233,0.1497,2.2233,0.0571,0.2473,1.4475
1/4/2015,3,-15.7950,-19.4386,-18.5875,95.1116,0.8990,815.6118,1020.7683,0.1463,3.0823,0.0517,0.3385,1.2440
1/4/2015,4,-15.0549,-19.5542,-17.8685,94.8020,0.9625,815.1692,1020.2383,0.1082,2.0508,0.0339,0.3849,1.6082
1/4/2015,5,-15.0188,-18.3649,-17.5367,95.4775,0.9937,814.8142,1019.8117,0.1100,1.3288,0.0327,0.4449,1.0614
1/4/2015,6,-14.5071,-18.0149,-17.2807,95.3887,1.0186,814.5962,1019.5450,0.1257,1.5225,0.0365,0.2683,1.5076
1/4/2015,7,-12.7710,-17.9398,-16.9503,95.3258,1.0500,814.9675,1019.9900,0.1118,3.5631,0.0726,0.6938,3.0632
1/4/2015,8,-10.9260,-18.8173,-16.5632,97.3024,1.0886,815.7325,1020.9117,0.1478,3.3949,0.0421,0.4407,1.3504
1/4/2015,9,-8.2138,-18.6909,-14.6737,97.6929,1.3013,816.1897,1021.4667,0.1298,4.2365,0.0584,0.3919,0.6516
1/4/2015,10,-4.0294,-16.0808,-12.6991,95.7206,1.5655,816.5503,1021.8883,0.1232,6.1698,0.0862,0.6935,1.4698
1/4/2015,11,1.1608,-8.2270,-10.3231,52.0058,1.9935,816.4532,1021.7783,0.1272,10.3847,0.1246,0.6027,0.1849
1/4/2015,12,-0.5139,-8.0803,-11.8817,47.4481,1.6830,815.7930,1020.9867,0.0758,7.7164,0.0922,0.4797,0.2332
1/4/2015,13,-3.1342,-9.7110,-12.2691,61.2116,1.6234,815.3995,1020.5150,0.1857,3.8721,0.0499,0.3998,1.1257
1/4/2015,14,-3.3858,-7.0842,-10.7602,56.5623,1.8573,815.6775,1020.8400,0.1653,3.0098,0.0314,0.3300,0.2922
1/4/2015,15,-0.0204,-3.3130,-9.0788,45.7412,2.1470,816.2605,1021.5383,0.1933,4.6583,0.0474,0.2635,0.1138
1/4/2015,16,1.8703,-2.5586,-9.2004,45.4691,2.1237,816.5655,1021.9100,0.2078,4.3025,0.0444,0.3724,0.8449
1/4/2015,17,-0.3916,-5.0070,-9.2295,52.4643,2.1173,816.7323,1022.1133,0.1998,4.6002,0.0638,0.3456,0.3917
1/4/2015,18,0.0673,-4.6666,-9.4893,51.4322,2.0673,817.3345,1022.8283,0.1573,3.5458,0.0380,0.3421,0.8528
1/4/2015,19,3.7717,-0.4781,-9.5067,37.4580,2.0640,817.5865,1023.1317,0.0610,5.2329,0.0573,0.3067,0.2950
1/4/2015,20,3.1362,-2.8127,-9.1171,41.4784,2.1367,818.0578,1023.6967,0.0585,8.6652,0.1134,0.4913,0.1474
1/4/2015,21,3.7514,-0.8343,-9.1252,39.1486,2.1339,817.9107,1023.5233,0.0608,5.9408,0.0654,0.4486,0.5478
1/4/2015,22,5.4469,1.5312,-9.3058,33.0788,2.1001,817.8162,1023.4133,0.0610,5.7933,0.0636,0.3992,0.3767
1/4/2015,23,-8.4486,-15.5560,-13.8873,73.3940,1.4087,818.5705,1024.3200,0.1048,5.6374,0.0672,0.3389,0.2274
1/5/2015,0,-12.8067,-18.7426,-14.5577,90.5761,1.3063,818.4730,1024.2017,0.1187,4.6917,0.0533,0.2644,0.1943
1/5/2015,1,-11.0284,-19.2570,-15.2123,93.6023,1.2306,818.2157,1023.8850,0.1305,3.3645,0.0320,0.2516,6.8419
